book,motif,block,number,sentence
"Pinball, 1973",cats,0,1,"Long after she’d gone, her smile remained, like the grin of the Cheshire Cat in Alice in Wonderland."
"Pinball, 1973",cats,1,0,
"Pinball, 1973",cats,2,0,
"Pinball, 1973",cats,3,0,
"Pinball, 1973",cats,4,0,
"Pinball, 1973",cats,5,0,
"Pinball, 1973",cats,6,0,
"Pinball, 1973",cats,7,0,
"Pinball, 1973",cats,8,0,
"Pinball, 1973",cats,9,1,Photos of a cat washing its face with its paw lay before me on the desk as I drank my coffee and chewed one of the rolls to a pulp.
"Pinball, 1973",cats,10,0,
"Pinball, 1973",cats,11,1,"“Ever see a cat with blood poisoning?” “No,” I said."
"Pinball, 1973",cats,12,5,"“There’s only a cat,” J said out of nowhere “An old cat, but a good friend to talk to.” “You talk things over, do you?” J nodded a few times."
"Pinball, 1973",cats,13,2,"I expressed my thanks and returned the cat to the case, then bought a box of cat food I couldn’t use."
"Pinball, 1973",cats,14,0,
"Pinball, 1973",cats,15,0,
"Pinball, 1973",cats,16,0,
"Pinball, 1973",cats,17,0,
"Pinball, 1973",cats,18,0,
"Pinball, 1973",cats,19,0,
"Pinball, 1973",cats,20,0,
"Pinball, 1973",cats,21,0,
"Pinball, 1973",cats,22,0,
"Pinball, 1973",cats,23,0,
"Pinball, 1973",cats,24,0,
"Pinball, 1973",cats,25,0,
"Pinball, 1973",wells,0,0,
"Pinball, 1973",wells,1,2,"The well-digger was a difficult, ill-natured man of fifty or so, but when it came to digging wells he was a bona fide genius."
"Pinball, 1973",wells,2,3,"And ever since, sweetwater wells have been hard to come by in the area."
"Pinball, 1973",wells,3,1,Not any more than they know a water spider at the bottom of a well.
"Pinball, 1973",wells,4,0,
"Pinball, 1973",wells,5,0,
"Pinball, 1973",wells,6,0,
"Pinball, 1973",wells,7,0,
"Pinball, 1973",wells,8,0,
"Pinball, 1973",wells,9,0,
"Pinball, 1973",wells,10,0,
"Pinball, 1973",wells,11,0,
"Pinball, 1973",wells,12,0,
"Pinball, 1973",wells,13,0,
"Pinball, 1973",wells,14,2,We’re always digging wells in our heads.
"Pinball, 1973",wells,15,0,
"Pinball, 1973",wells,16,0,
"Pinball, 1973",wells,17,0,
"Pinball, 1973",wells,18,0,
"Pinball, 1973",wells,19,0,
"Pinball, 1973",wells,20,0,
"Pinball, 1973",wells,21,0,
"Pinball, 1973",wells,22,0,
"Pinball, 1973",wells,23,0,
"Pinball, 1973",wells,24,0,
"Pinball, 1973",wells,25,0,
"Pinball, 1973",train stations,0,7,"“There’s a straight stretch of track, and a station."
"Pinball, 1973",train stations,1,4,"A handful of farmhouses with a few fields, a stream full of crayfish, a one-track local railroad, barely a yawn of a train station, that was it."
"Pinball, 1973",train stations,2,9,"Two days later when they reached a train station, the reindeer keeled over from exhaustion, never to get up again."
"Pinball, 1973",train stations,3,0,
"Pinball, 1973",train stations,4,1,"“No matter who wrote it,” boasted the catchphrase on our three-color offset brochure, “there’s nothing we can’t make intelligible.” Every half-year or so, when business fell into a periodic lull, out of sheer boredom the three of us would go stand in front of Shibuya Station and hand out brochures."
"Pinball, 1973",train stations,5,0,
"Pinball, 1973",train stations,6,0,
"Pinball, 1973",train stations,7,0,
"Pinball, 1973",train stations,8,3,"“You, I just know you’re a survivor.” Her luggage safely deposited on the station platform, this was the part where she got to tell me many thanks."
"Pinball, 1973",train stations,9,5,"Once a week she’d swim at the pool, and on Sunday nights she took a train to her viola lessons."
"Pinball, 1973",train stations,10,1,It was the face of any twenty-four-year-old guy who might have been sitting across the way on the commuter train.
"Pinball, 1973",train stations,11,0,
"Pinball, 1973",train stations,12,0,
"Pinball, 1973",train stations,13,1,The twins buzzed around the room gathering together my cigarettes and lighter and wallet and train pass.
"Pinball, 1973",train stations,14,3,We walked side by side to the station.
"Pinball, 1973",train stations,15,0,
"Pinball, 1973",train stations,16,0,
"Pinball, 1973",train stations,17,0,
"Pinball, 1973",train stations,18,0,
"Pinball, 1973",train stations,19,0,
"Pinball, 1973",train stations,20,0,
